Title, Link, Keywords, Data
The attempt to inoculate Himachal’s Malana village amid vaccine hesitancy,https://news.google.com/articles/CBMiYWh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL3Bob3RvLWVzc2F5L2F0dGVtcHQtdG8taW5vY3VsYXRlLW1hbGFuYS12aWxsYWdlLWFtaWQtdmFjY2luZS1oZXNpdGFuY3nSAWVodHRwczovL2NhcmF2YW5tYWdhemluZS5pbi9hbXAvcGhvdG8tZXNzYXkvYXR0ZW1wdC10by1pbm9jdWxhdGUtbWFsYW5hLXZpbGxhZ2UtYW1pZC12YWNjaW5lLWhlc2l0YW5jeQ?hl=en-IN&gl=IN&ceid=IN%3Aen,deity, 
Abhishek Majumdar's theatre of ideas,https://news.google.com/articles/CBMiP2h0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2FydHMvYWJoaXNoZWstbWFqdW1kYXItdGhlYXRyZS1pZGVhc9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,deity, 
History is being deliberately neglected: Sabarimala and the Brahminisation of an Adivasi deity,https://news.google.com/articles/CBMiYGh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL3JlbGlnaW9uL3BrLXNhamVldi1zYWJhcmltYWxhLW1hbGEtYXJheWEtYnJhaG1pbmlzYXRpb24tYWRpdmFzaS1kZWl0edIBZGh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2FtcC9yZWxpZ2lvbi9way1zYWplZXYtc2FiYXJpbWFsYS1tYWxhLWFyYXlhLWJyYWhtaW5pc2F0aW9uLWFkaXZhc2ktZGVpdHk?hl=en-IN&gl=IN&ceid=IN%3Aen,deity, 
How RSS lay the groundwork for the “tsunami” that BJP is expecting in West Bengal,https://news.google.com/articles/CAIiEA3zH0ihGG-bZvF1yz4pSPMqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,deity, 
Villagers in Varanasi turn to Dih Baba  goddesses and rituals to ward off COVID-19,https://news.google.com/articles/CAIiELc6FRDo1arJd9WqHVD8bMwqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,deity, 
In Telangana  rising OBC-led anti-Dalit violence points to Hindutva’s inroads in the state,https://news.google.com/articles/CAIiEPefO9c9o3FxZfl1qF30BZ0qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,deity, 
Facebook blocks Atheist Republic page on government directive  Twitter suspends founder,https://news.google.com/articles/CAIiECQ95B_DKW1QcsZWQxfsemMqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,deity, 
In Assam village  BJP MLAs target Muslims in NRC; label them “illegal settlers ” government demolishes homes,https://news.google.com/articles/CAIiELyonW3Bc3HYxgvzoe7cjFcqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,deity, 
The Koitur community is reclaiming their linguistic identity despite the state’s historical biases,https://news.google.com/articles/CAIiEGT0_KnX9a9ihDSAlPntgrgqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,deity, 
"Ab ki baar  Hindu sarkar": VHP conducts a rally through Muslim neighbourhoods in Delhi,https://news.google.com/articles/CBMiSWh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL3BvbGl0aWNzL3ZocC1yYWxseS1tdXNsaW0tbmVpZ2hib3VyaG9vZHMtZGVsaGnSAU1odHRwczovL2NhcmF2YW5tYWdhemluZS5pbi9hbXAvcG9saXRpY3MvdmhwLXJhbGx5LW11c2xpbS1uZWlnaGJvdXJob29kcy1kZWxoaQ?hl=en-IN&gl=IN&ceid=IN%3Aen,deity, 
An Ezhava priest challenges Brahminical priesthood at the Sabarimala temple,https://news.google.com/articles/CBMiYmh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2Nhc3RlL2FuLWV6aGF2YS1wcmllc3QtdGFsa3MtYWJvdXQtYnJhaG1pbmljYWwtcHJpZXN0aG9vZC1hdC1TYWJhcmltYWxh0gFmaHR0cHM6Ly9jYXJhdmFubWFnYXppbmUuaW4vYW1wL2Nhc3RlL2FuLWV6aGF2YS1wcmllc3QtdGFsa3MtYWJvdXQtYnJhaG1pbmljYWwtcHJpZXN0aG9vZC1hdC1TYWJhcmltYWxh?hl=en-IN&gl=IN&ceid=IN%3Aen,deity, 
Part Three | How BJP and its youth wing BJYM used the Delhi elections to mobilise Hindutva mobs,https://news.google.com/articles/CAIiEFWgqq3GpGxCCoWuSiH-KhYqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,deity, 
Privilege keeps many from seeing the violence in India: Historian Aparna Vaidik,https://news.google.com/articles/CAIiEOOMhjF0fv1x03q2iHx4K0cqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,deity, 
Part One | How RSS  BJP members invoked Hindu identity to mobilise Hindutva mobs at Maujpur,https://news.google.com/articles/CAIiECm-HivJu5p2r_rnwLIeOqgqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,deity, 
How Mohan Bhagwat outlined a vision for a casteist  theocratic Hindu state on national TV,https://news.google.com/articles/CAIiEKHGFBYfbKsvuVsglVWyxEsqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,deity, 
Adivasi Christians face widespread persecution in Chhattisgarh  pressurised into ghar vapsi,https://news.google.com/articles/CAIiEOZi4TJNQC4ME5R5015A0IMqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,deity, 
