Title, Link, Keywords, Data
CNBC-Awaaz anchor Hemant Ghai barred from capital markets by SEBI for fraudulent trades,https://news.google.com/articles/CAIiENkdqoiC4xp3lftZYEL569wqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,mr economic, 
Private hospital doctors say Punjab government strong armed them to buy overpriced vaccines,https://news.google.com/articles/CAIiEJ2Ibp7J_0li736n45TEUmQqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,mr economic, 
Modi is a bigger cult figure than Savarkar or Vajpayee: Jamia professor Mujibur Rehman,https://news.google.com/articles/CAIiEAuGXXehuTaomtjn04_rWIEqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,mr economic, 
How India Missed the Opportunity to Generate Any Comprehensive Data on the Earthquakes in Nepal,https://news.google.com/articles/CBMiZWh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL3ZhbnRhZ2Uvd2h5LXNjaWVudGlzdHMtaW5kaWEtd2VyZS11bmFibGUtYWNjZXNzLWFueS1kYXRhLWVhcnRocXVha2VzLW5lcGFs0gFpaHR0cHM6Ly9jYXJhdmFubWFnYXppbmUuaW4vYW1wL3ZhbnRhZ2Uvd2h5LXNjaWVudGlzdHMtaW5kaWEtd2VyZS11bmFibGUtYWNjZXNzLWFueS1kYXRhLWVhcnRocXVha2VzLW5lcGFs?hl=en-IN&gl=IN&ceid=IN%3Aen,mr stronger, 
We all refused: Adivasis contest lease of 2 730 acres to private firm in Attappady  Kerala,https://news.google.com/articles/CAIiEJAyX_gDppmhjhFcKJURVNYqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,mr economic, 
Amit Shah's electoral affidavit fails to disclose his liability for mortgages that secured dramatic increase in credit for son’s firm,https://news.google.com/articles/CBMiZGh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL3BvbGl0aWNzL2FtaXQtc2hhaC1qYXktbGlhYmlsaXR5LWVsZWN0aW9uLWFmZmlkYXZpdC1jcmVkaXQta3VzdW0tZmluc2VydmXSAWhodHRwczovL2NhcmF2YW5tYWdhemluZS5pbi9hbXAvcG9saXRpY3MvYW1pdC1zaGFoLWpheS1saWFiaWxpdHktZWxlY3Rpb24tYWZmaWRhdml0LWNyZWRpdC1rdXN1bS1maW5zZXJ2ZQ?hl=en-IN&gl=IN&ceid=IN%3Aen,mr stronger, 
How “A Burning” grapples with India’s current political reality,https://news.google.com/articles/CAIiEM8B9rW95HQ4BSGxVh88pxIqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,mr economic, 
Extract from March Cover Story: The Massive Indebtedness of the Adani Group and Its Convenient Relations with Government Enterprises,https://news.google.com/articles/CBMigwFodHRwczovL2NhcmF2YW5tYWdhemluZS5pbi92YW50YWdlL2V4dHJhY3QtY292ZXItc3RvcnktbWFzc2l2ZS1pbmRlYnRlZG5lc3MtYWRhbmktZ3JvdXAtY29udmVuaWVudC1yZWxhdGlvbnMtZ292ZXJubWVudC1lbnRlcnByaXNlc9IBhwFodHRwczovL2NhcmF2YW5tYWdhemluZS5pbi9hbXAvdmFudGFnZS9leHRyYWN0LWNvdmVyLXN0b3J5LW1hc3NpdmUtaW5kZWJ0ZWRuZXNzLWFkYW5pLWdyb3VwLWNvbnZlbmllbnQtcmVsYXRpb25zLWdvdmVybm1lbnQtZW50ZXJwcmlzZXM?hl=en-IN&gl=IN&ceid=IN%3Aen,mr economic, 
Death of Judge Loya: A critical examination of the ECG and the post-mortem demonstrates the failings of the Supreme Court verdict,https://news.google.com/articles/CBMif2h0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL3ZhbnRhZ2UvZGVhdGgtb2YtanVkZ2UtbG95YS1zdXByZW1lLWNvdXJ0LWV4YW1pbmF0aW9uLWVjZy1wb3N0LW1vcnRlbS1kZW1vbnN0cmF0ZXMtZmFpbGluZ3MtanVkZ21lbnTSAYMBaHR0cHM6Ly9jYXJhdmFubWFnYXppbmUuaW4vYW1wL3ZhbnRhZ2UvZGVhdGgtb2YtanVkZ2UtbG95YS1zdXByZW1lLWNvdXJ0LWV4YW1pbmF0aW9uLWVjZy1wb3N0LW1vcnRlbS1kZW1vbnN0cmF0ZXMtZmFpbGluZ3MtanVkZ21lbnQ?hl=en-IN&gl=IN&ceid=IN%3Aen,mr stronger, 
We got less number of seats but won’t play second fiddle to anybody: Prithviraj Chavan,https://news.google.com/articles/CAIiEEJGm8JNZvK3nxXSlgJr8HYqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,mr stronger, 
Editor's Pick,https://news.google.com/articles/CBMiOWh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2VkaXRvcnMtcGljay9lbXMtbmFtYm9vZGlyaXBhZNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,stronger economic, 
The farmers’ protest may grow into a second “total revolution”: JP movement activists,https://news.google.com/articles/CAIiEHc752qUhJC3AP_vuH6OOLgqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,stronger economic, 
Unless a political platform takes a stand on neoliberalisation  you can’t expect change: Kobad Ghandy on socialism and caste,https://news.google.com/articles/CAIiECsh89mroRizCj3TnZR3GugqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,stronger economic, 
Why SBI is under the spotlight to reject a billion-dollar loan to Adani’s Australia mine,https://news.google.com/articles/CAIiEEBgzFDj48I7JqFP0oNMxlgqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,stronger economic, 
Modi’s capitalist dystopia: How liberal market stokes new India’s illiberal democracy,https://news.google.com/articles/CAIiEGa1X_hVboqwtPHkDDttsN4qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,stronger economic, 
India’s labour law reforms without social dialogue is of concern: ILO’s Corinne Vargha,https://news.google.com/articles/CAIiECp30bwyBGspUUG0o6PsKEcqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,stronger economic, 
NEP is casteist  self-defeatist; centre should learn from Tamil Nadu: Dr Ezhilan Naganathan,https://news.google.com/articles/CAIiEP9v6BY6iRQxLdcGeJ3aczYqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,stronger economic, 
Anuradha Bhasin: A year ago  Kashmir inherited a loss of continuing progression,https://news.google.com/articles/CAIiEGBTfpWrVZH-V4OS4DvzcAAqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,stronger economic, 
The centre-Left in India is more concerned with dirty politics: Philosopher Aakash Rathore,https://news.google.com/articles/CAIiEBDVdsstraM1NBmbwcGeMTYqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,stronger economic, 
Fact Check: The lies and misdirections of the Modi government during the coronavirus lockdown,https://news.google.com/articles/CAIiEPVuWPmWj3OcoCiHbTom7gAqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,stronger economic, 
Emails  chats in Scania audit expose key role of Gadkari sons,https://news.google.com/articles/CAIiEJnfiKEarA3RuhqSqaU4cgYqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,mr, 
We cannot survive here: Lakshadweep locals on administrator Praful Patel’s executive siege,https://news.google.com/articles/CAIiEJqxvq8bME7-jAuHGgg_F3wqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,mr, 
UP policeman suspended; accused of illegal custody  brutal torture of former Indian Army soldier,https://news.google.com/articles/CAIiENZ5D7g_mFhFO3Q4r5S3Ra0qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,mr, 
caravanmagazine.in › reportage › a... Akshay Kumar's role as Hindutva's poster boy,https://news.google.com/articles/CBMiSmh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL3JlcG9ydGFnZS9ha3NoYXkta3VtYXItcm9sZS1oaW5kdXR2YS1wb3N0ZXItYm950gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,mr, 
Bhima Koregaon undertrials susceptible to rapid deterioration of health in the event of COVID-19: Family members,https://news.google.com/articles/CBMiWGh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL25vdGljZWJvYXJkL3JlbGVhc2UtYWxsLWJoaW1hLWtvcmVnYW9uLXByaXNvbmVycy1mYW1pbGllcy1zYXnSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,mr, 
The Caravan The perils of a monolithic approach to OBC politics and identity 2 weeks ago,https://news.google.com/articles/CBMiXWh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2Jvb2tzL3NodWRyYXMtdmlzaW9uLXBlcmlscy1vZi1tb25vbGl0aGljLWFwcHJvYWNoLXRvLW9iYy1wb2xpdGljc9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,mr, 
How the CBI killed India's biggest espionage case,https://news.google.com/articles/CBMiMmh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL3JlcG9ydGFnZS9zcGFjZS1zZWNyZXRz0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,mr, 
How Mukunda Biswas founded pioneering Indian-made guitar brands,https://news.google.com/articles/CBMiZWh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2FydHMvaG93LW11a3VuZGEtYmlzd2FzLWZvdW5kZWQtaG9ibmVyLXNpZ25hdHVyZS1pbmRpYW4tbWFkZS1ndWl0YXItYnJhbmRz0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,mr, 
The special interests of Shalabh Kumar  Trump's favourite Indian American,https://news.google.com/articles/CBMiPWh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL3JlcG9ydGFnZS9zaGFsYWJoLWt1bWFyLXRydW1wLW1vZGnSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,mr, 
Dom Moraes's neglected nonfiction,https://news.google.com/articles/CBMiRWh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2xpdGVyYXR1cmUvZG9tLW1vcmFlcy1uZWdsZWN0ZWQtbm9uZmljdGlvbtIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,mr, 
The unscathed humanity of SAR Geelani,https://news.google.com/articles/CAIiEC9apjfJnQpJRjPeD2lTXf4qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,mr, 
Allah Baksh Sumroo’s life shows that Indian Muslims are not Pakistanis-left-behind,https://news.google.com/articles/CAIiEJx5UMOC6NPECZZ5ytHbLOgqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,mr, 
Death of Judge Loya: The Backgrounds of the Loya Petitioners in the Supreme Court Raise Questions About the Legitimacy of Their Petitions,https://news.google.com/articles/CBMicmh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL3ZhbnRhZ2UvYmFja2dyb3VuZHMtbG95YS1wZXRpdGlvbmVycy1zdXByZW1lLWNvdXJ0LXJhaXNlLXF1ZXN0aW9ucy1sZWdpdGltYWN5LXBldGl0aW9uc9IBdmh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2FtcC92YW50YWdlL2JhY2tncm91bmRzLWxveWEtcGV0aXRpb25lcnMtc3VwcmVtZS1jb3VydC1yYWlzZS1xdWVzdGlvbnMtbGVnaXRpbWFjeS1wZXRpdGlvbnM?hl=en-IN&gl=IN&ceid=IN%3Aen,mr, 
Coronavirus increases racism against Indians from northeast,https://news.google.com/articles/CAIiEJ-uhGTrck9tnnpm7Hc9_t8qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,mr, 
Kashmiri Muslims have to be treated as an integral part of India: Julio Ribeiro,https://news.google.com/articles/CAIiEHZzwtjpk5Pvg-a4wXmpehgqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,mr, 
A book about Shillong offers much to the curious reader but less in terms of cultural depth,https://news.google.com/articles/CAIiECRzcGE7iQN5GEDsCd55RewqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,mr, 
