Title, Link, Keywords, Data
We’re targeted for exposing government mismanagement: Journalists on Bihar media crackdown,https://news.google.com/articles/CAIiEF4m4moxkyv7NQgBLP-OeMwqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,member later failed national opposition party family, 
After 36 years  families of 1985 Air India blast victims struggle without closure,https://news.google.com/articles/CAIiELbINU5n5TzwEbghxmpGHCIqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,security member later family, 
“Never seen anything like this”: How Cyclone Yaas impacted farmers’ livelihoods in Bengal,https://news.google.com/articles/CAIiEN1Q_BYlNI3oqdmTXFnt-r0qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,later national family, 
A memorial to Kashmir offers new ways of seeing old truths,https://news.google.com/articles/CBMiRWh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2NvbmZsaWN0L2N1cHMtb2YtbnVuLWNoYWktbWVtb3JpYWwta2FzaG1pctIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,security israel, 
The way forward for Dravidian parties is through women's representation,https://news.google.com/articles/CBMiSGh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL3BvbGl0aWNzL3dvbWVuLWRtay1haWFkbWstdGFtaWwtbmFkdS1lbGVjdGlvbtIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,member party, 
More than 6 500 industry artists demand repeal of amendment allowing central government to revoke film certificates,https://news.google.com/articles/CBMieGh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL25vdGljZWJvYXJkL21vcmUtdGhhbi02NTAwLWluZHVzdHJ5LWFydGlzdHMtd3JpdGUtYWdhaW5zdC1hbWVuZG1lbnRzLXRvLXRoZS1jaW5lbWF0b2dyYXBoLWFjdNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,member measure, 
The Brahmanical roots of Vikas Dubey's cult of personality,https://news.google.com/articles/CBMiT2h0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2Nhc3RlL2JyYWhtYW5pY2FsLXJvb3RzLXZpa2FzLWR1YmV5LWN1bHQtcGVyc29uYWxpdHnSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,later national, 
An unlikely friendship links the Volga and the Vaigai,https://news.google.com/articles/CBMiW2h0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2NvbW11bml0aWVzL2FsZXhhbmRlci1kdWJpYW5za3ktdW5saWtlbHktZnJpZW5kc2hpcC12b2xnYS12YWlnYWnSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,member, 
Abhishek Majumdar's theatre of ideas,https://news.google.com/articles/CBMiP2h0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2FydHMvYWJoaXNoZWstbWFqdW1kYXItdGhlYXRyZS1pZGVhc9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,later, 
Hindalco and BALCO's massive concealment of aluminium production and profits,https://news.google.com/articles/CBMiYWh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2J1c2luZXNzL2FsdW1pbml1bS11bmRlci1yZXBvcnRpbmctaGluZGFsY28tYmFsY28tYWRpdHlhLWJpcmxhLXZlZGFudGHSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,failed, 
