Title, Link, Keywords, Data
We cannot survive here: Lakshadweep locals on administrator Praful Patel’s executive siege,https://news.google.com/articles/CAIiEJqxvq8bME7-jAuHGgg_F3wqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,water minister project karnataka come plan action, 
India's political prisoners struggle to survive the pandemic,https://news.google.com/articles/CAIiEEPL_E_0dE4QD0WbzMukNioqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,water minister project karnataka come action, 
Bengaluru's escalating COVID-19 crisis,https://news.google.com/articles/CAIiEGOO8Gm6ZVGormf3P3nq6nkqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,water experts project karnataka technical come, 
This was a man-made disaster: Residents of Kerala’s flood-ravaged Chellanam village,https://news.google.com/articles/CAIiEDDiwL5KuIB8_9T9MNeJiowqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,water minister experts project plan, 
Why SBI is under the spotlight to reject a billion-dollar loan to Adani’s Australia mine,https://news.google.com/articles/CAIiEEBgzFDj48I7JqFP0oNMxlgqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,water minister experts project plan, 
The young environmental groups leading India’s new climate activism,https://news.google.com/articles/CAIiEFUMpiUc60HunAC5Zvjs7N8qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,water project karnataka plan action, 
Emails  chats in Scania audit expose key role of Gadkari sons,https://news.google.com/articles/CAIiEJnfiKEarA3RuhqSqaU4cgYqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,minister experts project karnataka plan, 
“Never seen anything like this”: How Cyclone Yaas impacted farmers’ livelihoods in Bengal,https://news.google.com/articles/CAIiEN1Q_BYlNI3oqdmTXFnt-r0qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,water minister experts come, 
The Modi government’s misguided policy on tackling the water crisis,https://news.google.com/articles/CAIiEOP8eceicf0UWVU1sne59KcqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,water project cauvery plan, 
We’re targeted for exposing government mismanagement: Journalists on Bihar media crackdown,https://news.google.com/articles/CAIiEF4m4moxkyv7NQgBLP-OeMwqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,water minister come action, 
Our movement against CAA-NRC remains alive: Asif Iqbal Tanha on activism  faith  and a year in Tihar,https://news.google.com/articles/CAIiEOP6wCWrjgMxv5P3YvTTCN0qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,water come plan action, 
Aquaoin  a supposed “blockchain solution” for India’s water crisis  is a dubious cryptocurrency scheme with links to bitcoin scams,https://news.google.com/articles/CBMib2h0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL3ZhbnRhZ2UvYXF1YW9pbi1ibG9ja2NoYWluLXNvbHV0aW9uLXdhdGVyLWR1YmlvdXMtY3J5cHRvY3VycmVuY3ktbGlua3MtYml0Y29pbi1zY2Ftc9IBc2h0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2FtcC92YW50YWdlL2FxdWFvaW4tYmxvY2tjaGFpbi1zb2x1dGlvbi13YXRlci1kdWJpb3VzLWNyeXB0b2N1cnJlbmN5LWxpbmtzLWJpdGNvaW4tc2NhbXM?hl=en-IN&gl=IN&ceid=IN%3Aen,water experts project technical, 
Punjab assembly holds special session to bring in legislation to oppose farm laws,https://news.google.com/articles/CAIiEK1BsokbmCE_ocyj4GQlo90qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,water minister experts come, 
Clearing air pollution between India and Pakistan,https://news.google.com/articles/CAIiEESe_Tb5CB1e0pe7lcZkNkQqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,water experts project action, 
Fact Check: The lies and misdirections of the Modi government during the coronavirus lockdown,https://news.google.com/articles/CAIiEPVuWPmWj3OcoCiHbTom7gAqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,water minister experts karnataka, 
The Modi government’s persecution of the Tablighi Jamaat,https://news.google.com/articles/CAIiEHfkU5cI-GkgrThOrMpjHwgqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,water minister karnataka action, 
On eve of Delhi Chalo protest  Punjab farmers prepare langar at sealed Haryana border,https://news.google.com/articles/CAIiEM8FUomgMAHh-4UW9iRNksIqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,water minister come action, 
Caught in the twilight zone between India and Pakistan  border villages struggle to survive,https://news.google.com/articles/CAIiEN8ogh9K2BIz3E43QB9iY1wqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,water project plan action, 
Private hospital doctors say Punjab government strong armed them to buy overpriced vaccines,https://news.google.com/articles/CAIiEJ2Ibp7J_0li736n45TEUmQqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,minister experts karnataka come, 
Are moves afoot to restore statehood in Jammu and Kashmir?,https://news.google.com/articles/CAIiEA9xXXJc8HhSbISq_voHni4qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,minister come plan action, 
The shadow of the First Amendment,https://news.google.com/articles/CBMiQWh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2Jvb2tzL2xhdy1maXJzdC1hbWVuZG1lbnQtY29uc3RpdHV0aW9u0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,minister come plan action, 
Why hundreds of PM-CARES ventilators in Punjab lie unused,https://news.google.com/articles/CAIiEIdGwm19y_MalRxiZgF0rsYqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,minister experts technical action, 
Modi’s capitalist dystopia: How liberal market stokes new India’s illiberal democracy,https://news.google.com/articles/CAIiEGa1X_hVboqwtPHkDDttsN4qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,minister experts project action, 
What a food park in Bihar’s Khagaria can tell us about the future of corporate agriculture in India,https://news.google.com/articles/CAIiEK0Q3ll79UwTP4PV3pkXmUoqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,minister project come plan, 
Editor's Pick,https://news.google.com/articles/CBMiOWh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2VkaXRvcnMtcGljay9lbXMtbmFtYm9vZGlyaXBhZNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,minister come plan action, 
caravanmagazine.in › reportage › a... Akshay Kumar's role as Hindutva's poster boy,https://news.google.com/articles/CBMiSmh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL3JlcG9ydGFnZS9ha3NoYXkta3VtYXItcm9sZS1oaW5kdXR2YS1wb3N0ZXItYm950gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,minister come plan action, 
Why did the MHA designate Gurpatwant Pannun  a Khalistani with little following  a terrorist?,https://news.google.com/articles/CAIiECRrRv-KGc_1SCs7PACRZ_cqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,minister project come action, 
In Bhopal  Covaxin trial participants allege irregularities,https://news.google.com/articles/CBMid2h0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2hlYWx0aC9pbi1iaG9wYWwtY292YXhpbi10cmlhbC12b2x1bnRlZXJzLWFsbGVnZS1pcnJlZ3VsYXJpdGllcy1pbi1yZWNydWl0bWVudC1hbmQtdHJlYXRtZW500gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,experts come plan action, 
