Title, Link, Keywords, Data
How the Telangana Police is targeting Adivasi students  lawyers and activists,https://news.google.com/articles/CAIiEBZdEVk6mxuUVMjXnu7Hw5cqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,various reportedly accused, 
Illegal detention  severe torture and PTSD: Shiv Kumar’s medical report,https://news.google.com/articles/CAIiEFn9BCEDo9JMNurBVRypdm0qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,various reportedly accused, 
Natasha and Devangana on their year in jail  finding hope in prison  and their activism,https://news.google.com/articles/CAIiEOWIuxgHprOdoLWbteb5GwgqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,various accused, 
Editor's Pick,https://news.google.com/articles/CBMiPGh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2VkaXRvcnMtcGljay9nYXktbGliZXJhdGlvbi1mcm9udNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,various accused, 
Our movement against CAA-NRC remains alive: Asif Iqbal Tanha on activism  faith  and a year in Tihar,https://news.google.com/articles/CAIiEOP6wCWrjgMxv5P3YvTTCN0qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,various accused, 
We’re targeted for exposing government mismanagement: Journalists on Bihar media crackdown,https://news.google.com/articles/CAIiEF4m4moxkyv7NQgBLP-OeMwqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,various accused, 
How India and the UNHCR failed to provide healthcare and vaccination for Chin refugees,https://news.google.com/articles/CAIiEI-d5m9knIfaBw_Yu_Tkks4qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,various reportedly, 
Blaming journalists for violence is reprehensible  sedition charges worse still: Chandigarh Press Club,https://news.google.com/articles/CBMiemh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL25vdGljZWJvYXJkL2JsYW1pbmctam91cm5hbGlzdHMtZm9yLXZpb2xlbmNlLXJlcHJlaGVuc2libGUtc2VkaXRpb24tZXZlbi13b3JzZS1mYXJtZXJzLXByb3Rlc3Rz0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,various reportedly, 
How Assam’s upper-caste controlled media reinforces the othering of tribal communities,https://news.google.com/articles/CAIiEMoQzLwPzj8TepyTXCnXONkqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,various accused, 
Why the Akali Dal–BSP alliance in Punjab is an act of opportunism,https://news.google.com/articles/CAIiEJF1O6_zSDdI14C7Xbkg9mAqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,various accused, 
