Title, Link, Keywords, Data
We cannot survive here: Lakshadweep locals on administrator Praful Patel’s executive siege,https://news.google.com/articles/CAIiEJqxvq8bME7-jAuHGgg_F3wqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,president turned congress amidst mr takes saw, 
Why the Akali Dal–BSP alliance in Punjab is an act of opportunism,https://news.google.com/articles/CAIiEJF1O6_zSDdI14C7Xbkg9mAqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,president turned congress statethe takes, 
Private hospital doctors say Punjab government strong armed them to buy overpriced vaccines,https://news.google.com/articles/CAIiEJ2Ibp7J_0li736n45TEUmQqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,president statethe telangana mr takes, 
How the ghost of the Baduria-Basirhat communal riots is polarising polls in West Bengal,https://news.google.com/articles/CAIiEJVDdzqi3p0chAkPVyVJUXwqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,president turned congress amidst saw, 
How RSS lay the groundwork for the “tsunami” that BJP is expecting in West Bengal,https://news.google.com/articles/CAIiEA3zH0ihGG-bZvF1yz4pSPMqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,president fanfare turned congress takes, 
Unless a political platform takes a stand on neoliberalisation  you can’t expect change: Kobad Ghandy on socialism and caste,https://news.google.com/articles/CAIiECsh89mroRizCj3TnZR3GugqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,turned amidst takes saw reddy, 
Civic mismanagement  as much as communalisation  led to the BJP’s gains in the Hyderabad polls,https://news.google.com/articles/CAIiEIqS3PKOsZyTnxqp3dc1nkgqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,congress telangana mr saw reddy, 
Why Punjab CM’s decision to offer plum jobs to sons of Congress MLAs defies reason,https://news.google.com/articles/CAIiEAOQh0V2ft4GN3aC0h3cAVwqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,president turned congress takes, 
How the lives of UP’s teachers were risked for an election,https://news.google.com/articles/CAIiEEGyne-SmhoENATP5DQnunYqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,president turned statethe takes, 
Did the centre and LG Kiran Bedi work in tandem to weaken the Puducherry state government?,https://news.google.com/articles/CAIiEDKfDTBo174rRVWKY7FGGeIqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,president congress telangana amidst, 
UP policeman suspended; accused of illegal custody  brutal torture of former Indian Army soldier,https://news.google.com/articles/CAIiENZ5D7g_mFhFO3Q4r5S3Ra0qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,president mr takes saw, 
Bengaluru's escalating COVID-19 crisis,https://news.google.com/articles/CAIiEGOO8Gm6ZVGormf3P3nq6nkqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,president turned statethe reddy, 
