Title, Link, Keywords, Data
UP policeman suspended; accused of illegal custody  brutal torture of former Indian Army soldier,https://news.google.com/articles/CAIiENZ5D7g_mFhFO3Q4r5S3Ra0qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
India's political prisoners struggle to survive the pandemic,https://news.google.com/articles/CAIiEEPL_E_0dE4QD0WbzMukNioqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
Natasha and Devangana on their year in jail  finding hope in prison  and their activism,https://news.google.com/articles/CAIiEOWIuxgHprOdoLWbteb5GwgqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
Our movement against CAA-NRC remains alive: Asif Iqbal Tanha on activism  faith  and a year in Tihar,https://news.google.com/articles/CAIiEOP6wCWrjgMxv5P3YvTTCN0qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
Hospital staff accused of sexually assaulting COVID patient,https://news.google.com/articles/CAIiEDiAVcgeQKgaqAcwqKybR5oqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
Why a minor who accused the Haryana police of custodial rape is still held in state custody,https://news.google.com/articles/CAIiEDH-NzAmS2L_hJbAbT9hk3gqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
Rural Assam's health systems unequipped for COVID-19,https://news.google.com/articles/CBMiVGh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2hlYWx0aC9ydXJhbC1hc3NhbS1oZWFsdGgtc3lzdGVtcy11bmVxdWlwcGVkLWZvci1jb3ZpZC0xOdIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
American Bar Association urges Indian courts to grant bail to Bhima Koregaon accused,https://news.google.com/articles/CBMidmh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL25vdGljZWJvYXJkL2FtZXJpY2FuLWJhci1hc3NvY2lhdGlvbi11cmdlcy1jb3VydHMtdG8tZ3JhbnQtYmFpbC10by1iaGltYS1rb3JlZ2Fvbi1kZXRhaW5lZXPSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
BJP’s “land-jihad” bogey in J&K backfires with members accused of encroaching state land,https://news.google.com/articles/CAIiEOpUQOa9NtdZs0VMhjZPDfcqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
After 36 years  families of 1985 Air India blast victims struggle without closure,https://news.google.com/articles/CAIiELbINU5n5TzwEbghxmpGHCIqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
Why the Akali Dal–BSP alliance in Punjab is an act of opportunism,https://news.google.com/articles/CAIiEJF1O6_zSDdI14C7Xbkg9mAqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
How the Punjab Police persecuted poor Dalit Sikhs under the UAPA with little evidence,https://news.google.com/articles/CAIiEC_klubSOoTc2tnUX62Z9NkqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
Three eyewitnesses accuse Delhi Police official of murder during Delhi violence,https://news.google.com/articles/CAIiEEtVv072cjSW1nHvDFX_wrUqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
Farmers at Kundli upset over media misrepresentation  accusations; confront “godi media”,https://news.google.com/articles/CAIiEGFNFIyYhjAlfMnQEDTecekqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
Delhi violence victim threatened  drugged and left unconscious,https://news.google.com/articles/CAIiEIjFJEj52JxzqlpHhZmshGEqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
How Assam’s upper-caste controlled media reinforces the othering of tribal communities,https://news.google.com/articles/CAIiEMoQzLwPzj8TepyTXCnXONkqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
Is Mizoram’s low crime rate a result of enforced forgiveness?,https://news.google.com/articles/CAIiEMW8NjndOEHfnjhfEc4FnQgqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
Notes on Priya Ramani’s fight for dignity,https://news.google.com/articles/CAIiEKWrMo76rMsXxqpBtESPslgqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
We’re targeted for exposing government mismanagement: Journalists on Bihar media crackdown,https://news.google.com/articles/CAIiEF4m4moxkyv7NQgBLP-OeMwqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
Illegal detention  severe torture and PTSD: Shiv Kumar’s medical report,https://news.google.com/articles/CAIiEFn9BCEDo9JMNurBVRypdm0qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,accused, 
