Title, Link, Keywords, Data
We’re targeted for exposing government mismanagement: Journalists on Bihar media crackdown,https://news.google.com/articles/CAIiEF4m4moxkyv7NQgBLP-OeMwqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,social create welfare child committees curb minister, 
By introducing eggs in mid-day meals  Maharashtra government could end malnutrition in the state. Will it?,https://news.google.com/articles/CAIiEL9inHoFm68VIKixBsyrUTwqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,create welfare child committees curb minister, 
Caste impunity and gender violence behind murder of Dalit garment worker in Tamil Nadu,https://news.google.com/articles/CAIiEGQADXuIxKD1Uv0LQWsM2ZsqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,marriages social create awareness committees, 
How one-teacher Ekal schools helped the spread of Hindutva in rural West Bengal,https://news.google.com/articles/CAIiEO_cuC4nJP_FMzs7_U8oDd4qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,marriages social awareness child villagelevel, 
More PR  less change: The impact of the Beti Bachao Beti Padhao scheme in one Rajasthan district,https://news.google.com/articles/CAIiEA8EUFLkFHlLiF8wiV3HicwqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,marriages awareness welfare child villagelevel, 
We cannot survive here: Lakshadweep locals on administrator Praful Patel’s executive siege,https://news.google.com/articles/CAIiEJqxvq8bME7-jAuHGgg_F3wqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,social create child committees minister, 
Private hospital doctors say Punjab government strong armed them to buy overpriced vaccines,https://news.google.com/articles/CAIiEJ2Ibp7J_0li736n45TEUmQqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,social create welfare committees minister, 
Why Adivasis mistrust Jharkhand's COVID-19 measures,https://news.google.com/articles/CAIiEB51Al_aYaOCxcxozJdHn-AqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,social create awareness child villagelevel, 
Despite Ravi Shankar Prasad’s claims  farm laws had no role in Bihar farmer’s cauliflower sale,https://news.google.com/articles/CAIiENHYdKi9gbG3Nz8H7bvSiL8qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,social welfare committees villagelevel minister, 
Superheroes in the fight against COVID-19 misinformation,https://news.google.com/articles/CAIiEC59J9bxmO03U2zicSAGeoEqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,social create awareness welfare child, 
Uncritical support for Modi paved the way for India’s COVID-19 crisis,https://news.google.com/articles/CAIiECWddgmxIO2hXS1roXoWSToqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,social create child committees minister, 
Ten voices from Adivasi literature,https://news.google.com/articles/CAIiEJtXXilHHZe9_oewgZ0_CB8qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,marriages social create child, 
Without free vaccination  majority of Indians could miss vaccine: Oxfam India’s Amitabh Behar,https://news.google.com/articles/CAIiEKnLxxyPEN2St7QcLz4A1_gqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,marriages social create child, 
A century apart  currents of dissent bridge the farmers’ protests and the Muzara Movement,https://news.google.com/articles/CAIiECFnYWEODxCJwhg44GAdBEIqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,marriages child committees curb, 
The rise of Modi is the rise of certain corporate houses: RLD’s Jayant Chaudhary,https://news.google.com/articles/CAIiEJFwaoMRfssNaVjPc4Yq9UQqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,marriages child committees minister, 
UP government’s schemes and grants are failing to reach people with disabilities: RTI,https://news.google.com/articles/CAIiEAH-5CvIu3zrmMefHlazZk8qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,marriages social child minister, 
The five cornerstones of journalistic work,https://news.google.com/articles/CAIiEDv7fqiKlTVSW1526lktosoqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,marriages create awareness welfare, 
How Assam’s upper-caste controlled media reinforces the othering of tribal communities,https://news.google.com/articles/CAIiEMoQzLwPzj8TepyTXCnXONkqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,social create awareness child, 
Vijayan must do more for the diverse social groups that brought the LDF to power in Kerala,https://news.google.com/articles/CBMiSGh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL3BvbGl0aWNzL3ZpamF5YW4tZGl2ZXJzZS1zb2NpYWwtZ3JvdXBzLWtlcmFsYdIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,social create committees minister, 
BJP’s social-media dominance is shaping mainstream media narratives ahead of Bihar polls,https://news.google.com/articles/CAIiEARMd0tFJdQTXUjMzzOsz2QqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,social create committees minister, 
Paranoia about digital coverage led ministers to propose media clampdown  monitoring “negative influencers”,https://news.google.com/articles/CAIiEDxaB1JsDc5ZPBfmxDz2dhEqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,social create child minister, 
A book about Shillong offers much to the curious reader but less in terms of cultural depth,https://news.google.com/articles/CAIiECRzcGE7iQN5GEDsCd55RewqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,social create awareness child, 
Editor's Pick,https://news.google.com/articles/CBMiO2h0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2VkaXRvcnMtcGljay9mZWJydWFyeS1yZXZvbHV0aW9u0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,social child committees minister, 
Whistle-blower doctor says Reliance offered settlement money  even as SEBI  MCA stonewalled his complaints,https://news.google.com/articles/CAIiEOBBdYxZw2nol5LBDyZfENIqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,social welfare child committees, 
Germany treads with caution in commenting upon Indian democracy,https://news.google.com/articles/CAIiEHBNdXWp2CP5L4HziIelWvUqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,social awareness child committees, 
How Bihar’s weak public health and food infrastructure is failing its citizens,https://news.google.com/articles/CAIiEIKbsdQ1hEaEYam5lPXzQnwqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,social welfare child villagelevel, 
Politicians from Australia  UK attend roundtable on whether India is becoming a fascist state,https://news.google.com/articles/CAIiECKx6rDckeMptQm5vgjLRtMqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,create welfare committees minister, 
How the Telangana Police is targeting Adivasi students  lawyers and activists,https://news.google.com/articles/CAIiEBZdEVk6mxuUVMjXnu7Hw5cqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,create awareness welfare committees, 
