Title, Link, Keywords, Data
This was a man-made disaster: Residents of Kerala’s flood-ravaged Chellanam village,https://news.google.com/articles/CAIiEDDiwL5KuIB8_9T9MNeJiowqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,bund gates, 
The attempt to inoculate Himachal’s Malana village amid vaccine hesitancy,https://news.google.com/articles/CBMiYWh0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL3Bob3RvLWVzc2F5L2F0dGVtcHQtdG8taW5vY3VsYXRlLW1hbGFuYS12aWxsYWdlLWFtaWQtdmFjY2luZS1oZXNpdGFuY3nSAWVodHRwczovL2NhcmF2YW5tYWdhemluZS5pbi9hbXAvcGhvdG8tZXNzYXkvYXR0ZW1wdC10by1pbm9jdWxhdGUtbWFsYW5hLXZpbGxhZ2UtYW1pZC12YWNjaW5lLWhlc2l0YW5jeQ?hl=en-IN&gl=IN&ceid=IN%3Aen,gates dam, 
How Jharkhand’s Mandal dam could destroy the environment  livelihoods  and 3.4 lakh trees,https://news.google.com/articles/CAIiEI9JGLawpe8UUwtw0CKDXRcqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,gates dam, 
How detainees were denied legal counsel  medical help at Daryaganj police station,https://news.google.com/articles/CAIiEAMT1ZsYDeyTBdSNWOa9VD8qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,gates dam, 
As civil disobedience  I will register as Muslim and invite the consequences: Harsh Mander,https://news.google.com/articles/CAIiEOFaRYr5eFYLiTKqSJhRmW0qGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,gates dam, 
To better understand the Shaheen Bagh protest  we must understand the locality itself,https://news.google.com/articles/CAIiEKt3EsThE8LYfNwlYEJzc_cqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,gates dam, 
The Modi government’s misguided policy on tackling the water crisis,https://news.google.com/articles/CAIiEOP8eceicf0UWVU1sne59KcqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,gates dam, 
Good protestor  bad protestor: The uneven police response to anti-CAA demonstrations,https://news.google.com/articles/CAIiELlPcJoZfp8_sExk6EoHlYgqGQgEKhAIACoHCAowm52QCzC9haQDMNvvtgY?hl=en-IN&gl=IN&ceid=IN%3Aen,gates dam, 
“I have been victimised for resisting and refusing the unwanted sexual advances of the CJI” Ranjan Gogoi: Former Supreme Court employee,https://news.google.com/articles/CBMiZ2h0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2xhdy9mb3JtZXItc3VwcmVtZS1jb3VydC1lbXBsb3llZS1hY2N1c2VzLWNqaS1yYW5qYW4tZ29nb2ktc2V4dWFsLWhhcmFzc21lbnTSAWtodHRwczovL2NhcmF2YW5tYWdhemluZS5pbi9hbXAvbGF3L2Zvcm1lci1zdXByZW1lLWNvdXJ0LWVtcGxveWVlLWFjY3VzZXMtY2ppLXJhbmphbi1nb2dvaS1zZXh1YWwtaGFyYXNzbWVudA?hl=en-IN&gl=IN&ceid=IN%3Aen,gates dam, 
Kancha Ilaiah Shepherd: “Saraswathi would kill our children”,https://news.google.com/articles/CBMiQ2h0dHBzOi8vY2FyYXZhbm1hZ2F6aW5lLmluL2VkdWNhdGlvbi9rYW5jaGEtaWxhaWFoLXNoZXBoYXJkLW1lbW9pcnPSAUdodHRwczovL2NhcmF2YW5tYWdhemluZS5pbi9hbXAvZWR1Y2F0aW9uL2thbmNoYS1pbGFpYWgtc2hlcGhhcmQtbWVtb2lycw?hl=en-IN&gl=IN&ceid=IN%3Aen,bund, 
