Title, Link, Keywords, Data
Godawari Power and Ispat turns debt free  pays all long-term loans,https://news.google.com/articles/CAIiEHYX4TEPlmNVUiT4BHLJAYoqGQgEKhAIACoHCAowsLXdCjCm3dEBMNS-swY?uo=CAUiiQFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vYXJ0aWNsZS9jb21wYW5pZXMvZ29kYXdhcmktcG93ZXItYW5kLWlzcGF0LXR1cm5zLWRlYnQtZnJlZS1wYXlzLWFsbC1sb25nLXRlcm0tbG9hbnMtMTIxMDcwNjAwMjgzXzEuaHRtbNIBAA&hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
British geothermal site passes crucial milestone as firm plans four new power plants,https://news.google.com/articles/CAIiEBH-l3-wuO7aTRaPNqQC97cqGQgEKhAIACoHCAow2Nb3CjDivdcCMP3ungY?hl=en-IN&gl=IN&ceid=IN%3Aen,power industrial, 
Nuclear site licence process ongoing for SA's second power station |,https://news.google.com/articles/CBMieWh0dHBzOi8vd3d3LmVzaS1hZnJpY2EuY29tL2luZHVzdHJ5LXNlY3RvcnMvZ2VuZXJhdGlvbi9udWNsZWFyLXNpdGUtbGljZW5jZS1wcm9jZXNzLW9uZ29pbmctZm9yLXNhcy1zZWNvbmQtcG93ZXItc3RhdGlvbi_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,power industry, 
Recovery tracker: Power generation up  more people get back to office,https://news.google.com/articles/CAIiECGFmnfh7WGb1Ajvnpj_fgsqGQgEKhAIACoHCAowsLXdCjCm3dEBMNS-swY?uo=CAUikAFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vYXJ0aWNsZS9lY29ub215LXBvbGljeS9yZWNvdmVyeS10cmFja2VyLXBvd2VyLWdlbmVyYXRpb24tdXAtbW9yZS1wZW9wbGUtZ2V0LWJhY2stdG8tb2ZmaWNlLTEyMTA3MDUwMDkyMl8xLmh0bWzSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Wärtsilä to deliver six gas engine power plants in Italy,https://news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LnBvd2VyLWVuZy5jb20vb24tc2l0ZS1wb3dlci93YXJ0c2lsYS10by1kZWxpdmVyLXNpeC1nYXMtZW5naW5lLXBvd2VyLXBsYW50cy1pbi1pdGFseS_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Russian agency begins work on 5th reactor at Kudankulam nuclear power plant,https://news.google.com/articles/CAIiEFG2LClDr73hhtZfJllPXVMqFwgEKg4IACoGCAoww7k_MMevCDCj7PkG?uo=CAUiigFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vaW5kaWEtbmV3cy9ydXNzaWFuLWFnZW5jeS1iZWdpbnMtd29yay1vbi01dGgtcmVhY3Rvci1hdC1rdWRhbmt1bGFtLW51Y2xlYXItcG93ZXItcGxhbnQtMTAxNjI0OTgyNjU4MTE1Lmh0bWzSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen,power units, 
Navjot Singh Sidhu hasn’t paid power bill for 8 months  owes Rs 8.67 lakh,https://news.google.com/articles/CAIiEL-yOQxWJiaHMgolwLTWuloqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?uo=CAUihAFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvY2l0aWVzL2NoYW5kaWdhcmgvbmF2am90LXNpbmdoLXNpZGh1LWhhc250LXBhaWQtcG93ZXItYmlsbC1mb3ItOC1tb250aHMtb3dlcy1ycy04LTY3LWxha2gtNzM4Njc1OS_SAQA&hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Another unit of Talwandi Sabo power plant goes out of order  PSPCL issues penalty notice,https://news.google.com/articles/CAIiECW0DW9ZWLFurK6m9XcO_x8qGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?uo=CAUikgFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvY2l0aWVzL2x1ZGhpYW5hL2Fub3RoZXItdW5pdC1vZi10YWx3YW5kaS1zYWJvLXBvd2VyLXBsYW50LWdvZXMtb3V0LW9mLW9yZGVyLXBzcGNsLWlzc3Vlcy1wZW5hbHR5LW5vdGljZS03Mzg5MTYzL9IBAA&hl=en-IN&gl=IN&ceid=IN%3Aen,power pspcl units paddy, 
Mohali: F&CC power to spend Rs 1 crore revoked  General House to decide such matters,https://news.google.com/articles/CAIiEGKHYIG71u8TWIYw8KTIVksqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?uo=CAUijgFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvY2l0aWVzL2NoYW5kaWdhcmgvbW9oYWxpLWZjYy1wb3dlci10by1zcGVuZC1ycy0xLWNyb3JlLXJldm9rZWQtZ2VuZXJhbC1ob3VzZS10by1kZWNpZGUtc3VjaC1tYXR0ZXJzLTczOTA4NzQv0gEA&hl=en-IN&gl=IN&ceid=IN%3Aen,power punjab, 
Telangana Slams Andhra Govt on Power Generation at Srishailam Hydel Project   Writes to KRMB,https://news.google.com/articles/CAIiELe3TFoOtTrPqtTxz05gLAUqGQgEKhAIACoHCAow5qqNCzD4q58DMPbXpwY?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
